Ambit,Titularitat,Tipus,Edicio,Assistents,Espai,Organitzador,Festa_nom,fecha,Festivo
,,,,,,,La Mercè,2018-12-27,0
,,,,,,,La Mercè,2018-12-28,0
,,,,,,,La Mercè,2018-12-29,0
,,,,,,,La Mercè,2018-12-30,0
,,,,,,,La Mercè,2018-12-31,0
,,,,,,,La Mercè,2019-01-01,1
,,,,,,,La Mercè,2019-01-02,0
,,,,,,,La Mercè,2019-01-03,0
,,,,,,,La Mercè,2019-01-04,0
,,,,,,,La Mercè,2019-01-05,0
,,,,,,,La Mercè,2019-01-06,0
,,,,,,,La Mercè,2019-01-07,0
,,,,,,,La Mercè,2019-01-08,0
,,,,,,,La Mercè,2019-01-09,0
,,,,,,,La Mercè,2019-01-10,0
,,,,,,,La Mercè,2019-01-11,0
,,,,,,,La Mercè,2019-01-12,0
,,,,,,,La Mercè,2019-01-13,0
,,,,,,,La Mercè,2019-01-14,0
,,,,,,,La Mercè,2019-01-15,0
,,,,,,,La Mercè,2019-01-16,0
,,,,,,,La Mercè,2019-01-17,0
,,,,,,,La Mercè,2019-01-18,0
,,,,,,,La Mercè,2019-01-19,0
,,,,,,,La Mercè,2019-01-20,0
,,,,,,,La Mercè,2019-01-21,0
,,,,,,,La Mercè,2019-01-22,0
,,,,,,,La Mercè,2019-01-23,0
,,,,,,,La Mercè,2019-01-24,0
,,,,,,,La Mercè,2019-01-25,0
,,,,,,,La Mercè,2019-01-26,0
,,,,,,,La Mercè,2019-01-27,0
,,,,,,,La Mercè,2019-01-28,0
,,,,,,,La Mercè,2019-01-29,0
,,,,,,,La Mercè,2019-01-30,0
,,,,,,,La Mercè,2019-01-31,0
,,,,,,,La Mercè,2019-02-01,0
,,,,,,,La Mercè,2019-02-02,0
,,,,,,,La Mercè,2019-02-03,0
,,,,,,,La Mercè,2019-02-04,0
,,,,,,,La Mercè,2019-02-05,0
,,,,,,,La Mercè,2019-02-06,0
,,,,,,,La Mercè,2019-02-07,0
,,,,,,,La Mercè,2019-02-08,0
,,,,,,,La Mercè,2019-02-09,0
